vocab_size,vocab_construct,vocab_init,pre-tok,segment,Avg,arc_easy,copa,mktg,mathqa,piqa,qa4mre,race,sciq,sociology,wsc273
32768,bpe,,firstspace,merge,48.8,51.2,69,32.9,23.9,66.3,29.6,29.2,87.3,30.9,67.8
32768,bpe,,firstspace,greedy,48.3,51.9,66,32.9,23.7,65.6,27.5,30.7,88,30.9,66.3
32768,bpe,,firstspace,pathpiecel,45.6,45.6,61,29.9,23,60.5,28.2,29,83.8,28.4,66.3
40960,bpe,,firstspace,merge,50,52.7,70,31.6,24.3,66.9,32.4,30.1,87.7,35.3,69.2
40960,bpe,,firstspace,greedy,49.1,52.3,66,27.4,22.9,66.9,31.7,30.9,88.3,35.8,68.9
40960,bpe,,firstspace,pathpiecel,46.7,48,58,27.4,23.4,62.1,30.3,30.2,83.8,35.3,68.1
49152,bpe,,firstspace,merge,48.1,52.3,65,31.6,23.7,65.7,28.9,31,87.3,28.9,67
49152,bpe,,firstspace,greedy,49.5,53.9,72,31.6,24.2,68.4,29.6,31.2,88.4,29.4,66.3
49152,bpe,,firstspace,pathpiecel,47.2,48.6,69,26.9,22.8,63.1,31,30.7,85.4,31.8,63
32768,pathpiecel,initbpe,firstspace,pathpiecel,49.3,50.8,68,34.2,23,66.4,28.5,31.1,88.8,35.3,67
32768,pathpiecel,initngram,firstspace,pathpiecel,44.8,42.3,61,27.4,23,61.2,30.3,27.3,80,32.8,62.6
32768,pathpiecel,initngram,firstspacedigit,pathpiecel,44.6,42.3,62,31.2,22.8,61.2,27.8,25.5,79.2,31.3,62.6
32768,pathpiecel,initunigram,firstspace,pathpiecel,46.9,50.4,64,24.8,23.5,66.2,29.6,30.6,87.6,24.4,68.1
40960,pathpiecel,initbpe,firstspace,pathpiecel,49.4,52.1,71,29.9,23.9,66.9,31,29.6,87.3,34.3,67.8
40960,pathpiecel,initngram,firstspace,pathpiecel,45.5,42.6,63,30.3,22.7,60.9,29.9,27.9,81,34.8,61.9
40960,pathpiecel,initngram,firstspacedigit,pathpiecel,44.9,44,60,29.9,22.6,60.8,27.5,28.2,80.7,30.9,64.1
40960,pathpiecel,initunigram,firstspace,pathpiecel,48.5,51.7,71,31.2,24.2,66.2,31.3,29.7,86.3,29.9,63.7
49152,pathpiecel,initbpe,firstspace,pathpiecel,49.4,51.9,69,29.9,24.5,66.6,31,31.4,87.5,31.3,70.7
49152,pathpiecel,initngram,firstspace,pathpiecel,43.9,42.4,56,28.6,23.8,60.3,27.5,26.7,80.8,32.3,60.8
49152,pathpiecel,initngram,firstspacedigit,pathpiecel,45,44.5,59,28.2,22.3,59.5,28.9,30,80.6,35.8,61.2
49152,pathpiecel,initunigram,firstspace,pathpiecel,48.4,51.4,67,29.5,24.7,65.2,29.2,30.5,88.5,32.8,65.6
32768,pathpiecer,initngram,firstspacedigit,pathpiecer,45.3,46.9,67,26.9,22.4,59.9,28.5,29.4,78.6,28.9,64.5
32768,pathpiecer,initngram,,pathpiecer,43.5,42.5,65,26.1,22.8,61.7,27.1,27,77.7,28.9,56
32768,pathpiecer,initngram,spacedigit,pathpiecer,47.5,48.6,68,32.9,23.3,65,25,29.4,85.7,32.3,64.8
