vocab_size,vocab_construct,vocab_init,pre-tok,segment,blimp,xcopa,squad_v2,hellaswag,winogrande,math-1digit,math-2digit
32768,bpe,,firstspace,greedy,0.5377,0.51055,0.12663,0.25612,0.50829,0.12222,0.00937
40960,bpe,,firstspace,greedy,0.53513,0.51582,0.12568,0.25722,0.48382,0.04889,0.00473
49152,bpe,,firstspace,greedy,0.53627,0.51491,0.126,0.25573,0.50908,0.08667,0.00746
32768,bpe,,firstspace,merge,0.54681,0.51309,0.12518,0.25812,0.51776,0.05667,0.00413
40960,bpe,,firstspace,merge,0.54294,0.51673,0.12518,0.26031,0.49329,0.08333,0.00886
49152,bpe,,firstspace,merge,0.54452,0.51473,0.12518,0.25334,0.49645,0.07111,0.00653
32768,bpe,,firstspace,pathpiecel,,,,,,0.10667,0.0083
40960,bpe,,firstspace,pathpiecel,,,,,,0.02111,0.00353
49152,bpe,,firstspace,pathpiecel,,,,,,0.08778,0.00911
32768,pathpiecel,initbpe,firstspace,pathpiecel,,,,,,,
40960,pathpiecel,initbpe,firstspace,pathpiecel,,,,,,,
49152,pathpiecel,initbpe,firstspace,pathpiecel,,,,,,,
32768,pathpiecel,initngram,firstspacedigit,pathpiecel,0.53693,0.51018,0.12638,0.25672,0.48066,0.01111,0.00091
40960,pathpiecel,initngram,firstspacedigit,pathpiecel,0.53361,0.51327,0.12777,0.25752,0.50355,0.00444,0.00047
49152,pathpiecel,initngram,firstspacedigit,pathpiecel,0.5556,0.52127,0.12701,0.25662,0.49803,0.00889,0.00038
32768,pathpiecel,initngram,firstspace,pathpiecel,0.53582,0.50727,0.13225,0.25632,0.5217,0.10222,0.00588
40960,pathpiecel,initngram,firstspace,pathpiecel,0.55391,0.51418,0.12562,0.25871,0.48145,0.05889,0.00494
49152,pathpiecel,initngram,firstspace,pathpiecel,0.54112,0.52127,0.14594,0.25951,0.48303,0.09889,0.00572
32768,pathpiecel,initunigram,firstspace,pathpiecel,0.53188,0.51982,0.18968,0.2609,0.49092,0.05889,0.00547
40960,pathpiecel,initunigram,firstspace,pathpiecel,0.52755,0.52345,0.12531,0.25602,0.50434,0.02556,0.00188
49152,pathpiecel,initunigram,firstspace,pathpiecel,0.53321,0.51945,0.12581,0.25632,0.51302,0.20111,0.01919
32768,pathpiecer,initngram,firstspacedigit,pathpiecer,0.53993,0.51218,0.1272,0.25523,0.49171,0.02,0.0017
40960,pathpiecer,initngram,firstspacedigit,pathpiecer,0.55079,0.51709,0.13446,0.25503,0.48224,0.02889,0.00265
49152,pathpiecer,initngram,firstspacedigit,pathpiecer,0.54522,0.51527,0.13054,0.25662,0.51144,0.00444,0.0007
32768,pathpiecer,initngram,,pathpiecer,0.53746,0.51327,0.13054,0.25513,0.49171,0.00778,0.00027
40960,pathpiecer,initngram,,pathpiecer,0.54612,0.51509,0.12619,0.25483,0.50592,0.00778,0.00043
49152,pathpiecer,initngram,,pathpiecer,,,,,,0.01111,0.00111
32768,pathpiecer,initngram,spacedigit,pathpiecer,0.55484,0.516,0.12625,0.26031,0.49961,0.03556,0.00217
40960,pathpiecer,initngram,spacedigit,pathpiecer,0.57342,0.51436,0.12524,0.25991,0.51539,0,0.00007
49152,pathpiecer,initngram,spacedigit,pathpiecer,0.549,0.52036,0.12518,0.25941,0.51776,0.01,0.00051
32768,sage,initbpe,firstspace,greedy,0.54069,0.51618,0.12562,0.25254,0.49171,0.04889,0.00413
40960,sage,initbpe,firstspace,greedy,0.54133,0.51364,0.13338,0.25921,0.51223,0.03889,0.00416
49152,sage,initbpe,firstspace,greedy,0.55399,0.51564,0.12518,0.25413,0.48934,0.06667,0.00375
32768,sage,initngram,firstspacedigit,greedy,0.53325,0.51018,0.12915,0.25383,0.50513,0.01444,0.0008
40960,sage,initngram,firstspacedigit,greedy,0.53124,0.50727,0.12543,0.25274,0.48461,0.00778,0.00055
49152,sage,initngram,firstspacedigit,greedy,0.52401,0.50818,0.12518,0.25314,0.48934,0.00333,0.00027
