vocab_size,vocab_construct,vocab_init,pre-tok,segment,fertility,renyi_efficiency_a_1,renyi_efficiency_a_2,renyi_efficiency_a_2_5,unigram_entropy,compression_ratio_global_mean,bigrams_entropy,average_token_rank,corr_chunkability_rt_mean,corr_chunkability_rt_z,corr_chunkability_accuracy,encoding_length,chars_total,avg_chars_per_token,u_stats_n_tokens,u_mean,u_median,final_tokens_count,used_in_merges,no_leading_space_tokens_count,no_leading_space_tokens_share,AUC_zipf,SLOPE_zipf,POWER_LAW_MAE_zipf,macro_precision_morphscore,macro_recall_morphscore
32768,bpe,,firstspace,greedy,0.2255957399,11.02089671,7.315195933,6.665018557,11.02089671,0.02118092105,17.64903502,2445.692232,-0.1840101295,-0.1927169359,0.160381375,67190367,297280223,4.424447079,12155,4.055277261,4.001188262,14777,17818,14053,0.4311397454,108.014657,-1.609179,0.696343,0.3631498267,0.3946058829
40960,bpe,,firstspace,greedy,0.2215584426,11.06265133,7.273098699,6.625876616,11.06265133,0.02157196929,17.67060562,2736.765038,-0.2134299059,-0.2259180609,0.1786404027,65969529,297280223,4.506326292,14999,3.911876915,3.830621524,18581,22151,17547,0.4307915153,108.743827,-1.62734,0.667455,0.3965605183,0.4235364397
49152,bpe,,firstspace,greedy,0.218666748,11.0915363,7.242825532,6.598073217,11.0915363,0.02186898637,17.6808518,2990.671042,-0.2473445515,-0.2578678084,0.1982024922,65086179,297280223,4.567486179,17821,3.779972906,3.697596247,22286,26573,21073,0.4313023189,109.292223,-1.641389,0.648108,0.4247517426,0.4487730354
32768,bpe,,firstspace,merge,0.2259292758,11.00194893,7.338909664,6.679352848,11.00194893,0.02117338673,17.66165659,2317.79723,-0.3743148589,-0.3923081865,0.3445475003,67327610,297280223,4.415428128,28113,3.476669471,3.359387216,14576,18192,14151,0.431854248,108.042478,-1.619426,0.642777,0.1581200569,0.1770638941
40960,bpe,,firstspace,merge,0.2217745305,11.04459738,7.29008964,6.635916685,11.04459738,0.02156171049,17.68122959,2602.005568,-0.3564107214,-0.3784203506,0.3586495793,66074132,297280223,4.499192256,34188,3.352723895,3.233178103,18340,22620,17672,0.4314453125,108.752816,-1.641396,0.620475,0.1612512637,0.1766381766
49152,bpe,,firstspace,merge,0.2188255774,11.0720684,7.255661761,6.605625211,11.0720684,0.02186534532,17.68810517,2837.909665,-0.3468323908,-0.3701367651,0.3764622439,65177354,297280223,4.561096834,40061,3.239540029,3.105957805,22004,27148,21229,0.4319051107,109.283786,-1.660611,0.60578,0.1616370667,0.1744963239
32768,bpe,,firstspace,pathpiecel,0.2249218797,11.08496737,7.331185232,6.669073692,11.08496737,0.02124367869,17.69385955,2536.36665,-0.1797071269,-0.1868919847,0.1620755712,66986740,297280223,4.43789656,12155,4.055277261,4.001188262,14777,17818,14053,0.4311397454,108.077114,-1.528608,0.605604,0.0885519417,0.09361947925
40960,bpe,,firstspace,pathpiecel,0.2209632669,11.1206439,7.284105813,6.627764829,11.1206439,0.02162964388,17.70658172,2840.907516,-0.2163888598,-0.2261144825,0.1840287333,65792757,297280223,4.518433891,14999,3.911876915,3.830621524,18581,22151,17547,0.4307915153,108.80841,-1.55386,0.588853,0.08574349784,0.0897895414
49152,bpe,,firstspace,pathpiecel,0.2181540521,11.14215117,7.250424126,6.598559409,11.14215117,0.02192027249,17.70906245,3095.944481,-0.2413918433,-0.2502752267,0.1986279591,64931301,297280223,4.578380818,17821,3.779972906,3.697596247,22286,26573,21073,0.4313023189,109.359754,-1.57502,0.579204,0.08075288838,0.08369139693
32768,pathpiecel,initbpe,firstspace,pathpiecel,0.2233409147,11.05912251,7.308947673,6.651863858,11.05912251,0.02139055648,17.68787461,2503.622868,-0.1989714407,-0.2101231651,0.1626758882,66522554,297280223,4.468863643,10811,4.71891517,4.550940708,16903,15436,12933,0.3999196017,107.953676,-1.522812,0.587504,0.1491635271,0.1549156799
